selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,Combined signal,Bud signal,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time
0,Position_2,1,S,3.0,68,320196.0,226709.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,320196.0,28.0,28.0,546905.0,226709.0,-14.0,32.0,84.0,2+ ($n_2$=89),39
0,Position_2,1,S,3.0,69,319060.0,234970.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,319060.0,29.0,29.0,554030.0,234970.0,-14.0,32.0,87.0,2+ ($n_2$=89),33
0,Position_2,1,S,3.0,70,322053.0,244994.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,322053.0,30.0,30.0,567047.0,244994.0,-14.0,32.0,90.0,2+ ($n_2$=89),26
0,Position_2,1,S,3.0,71,328308.0,246091.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,328308.0,31.0,31.0,574399.0,246091.0,-14.0,32.0,93.0,2+ ($n_2$=89),21
0,Position_2,1,S,3.0,72,323446.0,240503.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,323446.0,32.0,32.0,563949.0,240503.0,-14.0,32.0,96.0,2+ ($n_2$=89),19
0,Position_2,1,G1,4.0,73,310673.0,259548.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,6.0,73.0,310673.0,1.0,-6.0,310673.0,0.0,-6.0,28.0,-18.0,2+ ($n_2$=89),70
0,Position_2,3,G1,1.0,73,259548.0,310673.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,259548.0,1.0,-15.0,259548.0,0.0,-15.0,42.0,-45.0,1st ($n_1$=48),35
0,Position_2,1,G1,4.0,74,326254.0,254439.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,6.0,73.0,326254.0,2.0,-5.0,326254.0,0.0,-6.0,28.0,-15.0,2+ ($n_2$=89),81
0,Position_2,3,G1,1.0,74,254439.0,326254.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,254439.0,2.0,-14.0,254439.0,0.0,-15.0,42.0,-42.0,1st ($n_1$=48),36
0,Position_2,1,G1,4.0,75,321613.0,243180.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,6.0,73.0,321613.0,3.0,-4.0,321613.0,0.0,-6.0,28.0,-12.0,2+ ($n_2$=89),83
0,Position_2,3,G1,1.0,75,243180.0,321613.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,243180.0,3.0,-13.0,243180.0,0.0,-15.0,42.0,-39.0,1st ($n_1$=48),40
0,Position_2,1,G1,4.0,76,318398.0,243796.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,6.0,73.0,318398.0,4.0,-3.0,318398.0,0.0,-6.0,28.0,-9.0,2+ ($n_2$=89),85
0,Position_2,3,G1,1.0,76,243796.0,318398.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,243796.0,4.0,-12.0,243796.0,0.0,-15.0,42.0,-36.0,1st ($n_1$=48),42
0,Position_2,1,G1,4.0,77,324928.00000000006,231030.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,6.0,73.0,324928.00000000006,5.0,-2.0,324928.00000000006,0.0,-6.0,28.0,-6.0,2+ ($n_2$=89),87
0,Position_2,3,G1,1.0,77,231030.0,324928.00000000006,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,231030.0,5.0,-11.0,231030.0,0.0,-15.0,42.0,-33.0,1st ($n_1$=48),42
0,Position_2,1,G1,4.0,78,335319.0,237385.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,6.0,73.0,335319.0,6.0,-1.0,335319.0,0.0,-6.0,28.0,-3.0,2+ ($n_2$=89),88
0,Position_2,3,G1,1.0,78,237385.0,335319.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,237385.0,6.0,-10.0,237385.0,0.0,-15.0,42.0,-30.0,1st ($n_1$=48),45
0,Position_2,1,G1,4.0,79,338008.0,240549.00000000003,MIA_KC_htb1_mCitrine_labeled,mother,3.0,6.0,73.0,338008.0,7.0,0.0,338008.0,0.0,-6.0,28.0,0.0,2+ ($n_2$=89),89
0,Position_2,3,G1,1.0,79,240549.00000000003,338008.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,240549.00000000003,7.0,-9.0,240549.00000000003,0.0,-15.0,42.0,-27.0,1st ($n_1$=48),46
0,Position_2,1,S,4.0,80,350304.0,538.9999999999999,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,350304.0,1.0,1.0,350843.0,538.9999999999999,-6.0,28.0,3.0,2+ ($n_2$=89),89
0,Position_2,3,G1,1.0,80,244081.0,350304.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,244081.0,8.0,-8.0,244081.0,0.0,-15.0,42.0,-24.0,1st ($n_1$=48),47
0,Position_2,1,S,4.0,81,365491.0,351.00000000000017,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,365491.0,2.0,2.0,365842.0,351.00000000000017,-6.0,28.0,6.0,2+ ($n_2$=89),89
0,Position_2,3,G1,1.0,81,254643.0,365491.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,254643.0,9.0,-7.0,254643.0,0.0,-15.0,42.0,-21.0,1st ($n_1$=48),47
0,Position_2,1,S,4.0,82,383435.0,750.0000000000001,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,383435.0,3.0,3.0,384185.0,750.0000000000001,-6.0,28.0,9.0,2+ ($n_2$=89),89
0,Position_2,3,G1,1.0,82,251408.0,383435.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,251408.0,10.0,-6.0,251408.0,0.0,-15.0,42.0,-18.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,83,398495.0,1427.0,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,398495.0,4.0,4.0,399922.0,1427.0,-6.0,28.0,12.0,2+ ($n_2$=89),89
0,Position_2,3,G1,1.0,83,256048.0,398495.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,256048.0,11.0,-5.0,256048.0,0.0,-15.0,42.0,-15.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,84,421528.0,2002.0,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,421528.0,5.0,5.0,423530.0,2002.0,-6.0,28.0,15.0,2+ ($n_2$=89),89
0,Position_2,3,G1,1.0,84,263914.0,421528.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,263914.0,12.0,-4.0,263914.0,0.0,-15.0,42.0,-12.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,85,435481.0,2199.0000000000005,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,435481.0,6.0,6.0,437680.0,2199.0000000000005,-6.0,28.0,18.0,2+ ($n_2$=89),89
