Position_n,Cell_ID,cell_vol_fl,nucleus_vol_fl
Position_21,6,136.3594728739287,57.61916241649391
Position_21,8,127.18723799077397,45.00675894795558
Position_21,9,66.92393603043689,17.296139671844312
Position_21,10,124.75386710614777,49.10894605720827
Position_21,11,136.97380711757788,41.573133616759705
Position_21,12,63.1743558870234,85.04263457216669
Position_21,13,82.37280455093567,26.71939133812751
Position_21,14,342.5594100817165,154.25473856768363
Position_21,15,102.68237953309848,33.19399919049611
Position_21,16,118.07350973231505,44.6941688768881
Position_22,1,146.1298121118041,54.11784811730302
Position_22,2,106.57542025088544,45.8393453754512
Position_22,3,82.03317591807645,67.2089416483485
Position_22,4,109.13034917142346,89.56554442350956
Position_22,5,247.84481910692176,117.94238023553848
Position_22,6,136.40403944784663,61.42397386418992
Position_22,7,160.48610433780914,52.35932348413655
Position_22,8,110.3231710069636,48.66309153695942
Position_22,9,135.67712353566026,46.72973388729497
Position_23,1,121.40024324187684,36.62409035094265
Position_23,2,160.57570530634317,70.65620129605698
Position_23,3,246.2126950256108,97.12352597028686
Position_23,4,180.81683637389528,81.50689458933141
Position_23,5,179.32492111237065,81.79928235585996
Position_23,6,149.01325690946723,48.29916276584972
Position_23,7,110.01642375210707,46.76527022698113
Position_23,8,151.6880616589939,41.593938700152
Position_23,9,149.2705327780258,81.78074578316307
Position_23,10,113.74506925603566,42.06721295481128
Position_23,11,151.0661033914071,70.76473429135896
Position_23,12,166.39131661903932,49.35747861107466
Position_23,13,137.3842832601034,52.57374116702897
Position_23,14,164.84850616348947,55.372841879674304
Position_23,16,124.45748162813038,43.78119856508874
Position_23,17,100.11876069779566,30.81786501625264
Position_23,18,152.30268017260056,59.98348249651606
Position_23,19,127.83783865123227,39.65130426791985
Position_23,20,139.86948152685193,54.075367101324126
Position_23,21,151.62317343555978,44.59710488239153
Position_23,23,79.7093798510369,19.088001642592523
Position_24,1,122.02947549465608,37.916850355524325
Position_24,2,74.56370804933432,47.75695029637544
Position_24,3,158.00014212233344,45.86909506301664
Position_24,4,98.1062894097738,31.73634769927705
Position_24,6,172.09963279026977,50.01568182413955
Position_24,7,152.29386881961065,47.0255345053974
Position_24,8,181.70282116048315,57.866161179631646
Position_24,9,117.08215973090203,41.65070520761798
Position_24,10,134.070587044445,37.17145931407726
Position_24,11,144.43292604983566,38.82551601103656
Position_24,12,224.9570448655706,82.33321775176333
Position_25,1,148.33387109226518,64.1932334671963
Position_25,2,124.67372111376731,48.91872104195992
Position_25,3,113.25888601388772,50.15319562667919
Position_25,4,126.3740486302986,51.47167115136583
Position_25,5,145.72369791569383,59.639899026084606
Position_25,6,192.4732657619496,60.79563120314123
Position_25,7,145.86660182583475,62.84324300981425
Position_25,8,140.25728552325978,69.170872586243
Position_25,9,127.6458430588365,46.12627930305352
Position_25,10,178.44064202817313,78.86668282875286
Position_25,13,231.72859581245825,94.84004066432232
Position_26,1,143.4718023440528,50.86302030685274
Position_26,2,152.02780491040352,63.69018079519952
Position_26,3,142.050169786737,66.32765890775707
Position_26,4,144.51416253649705,48.43248865463174
Position_26,5,266.2556054310808,84.06485639891758
Position_27,1,175.43160927067626,61.74173988739412
Position_27,2,163.2816441343781,71.11393163022629
Position_27,3,133.00986877948154,48.65230967440935
Position_27,4,137.93348167081965,46.24386014507929
Position_27,5,122.09772415580468,66.65489052225217
Position_27,7,115.15625362160992,42.72186430339733
Position_28,1,122.04780881484288,71.34943813803966
Position_28,2,225.218874786888,91.2169488869932
Position_28,3,109.63468527499728,33.28085139287422
Position_28,4,188.87488760362373,70.27974851358584
Position_28,5,133.9850330107466,37.009458689892135
Position_28,6,180.26259014689435,48.4828878638742
