frame_i,Cell_ID,file,position,x_label,mCitrine_corrected_amount,mCitrine_corrected_concentration
103,10,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),292924.0,8169.006124602091
97,8,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),341512.0,8013.340132135191
196,30,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),280216.0,4892.708697046749
198,27,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),263864.0,4552.3893328082295
199,29,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),204715.00000000003,4325.4858674673715
202,28,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),193790.0,3835.1019715954944
202,32,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),249201.0,4814.905701480228
203,33,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),211989.0,3549.806578936998
207,36,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),224126.99999999997,3272.738789165324
208,39,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),243831.00000000003,5427.208134579259
210,37,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),191384.0,4891.79896837398
211,45,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),202697.0,7495.40254164613
213,43,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),266178.0,4622.062966151059
98,9,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),304275.0,5902.828432723181
215,40,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),195221.99999999997,3716.414520975135
217,46,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),170761.0,3536.9673335757448
227,48,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),248664.0,4177.721317269921
228,47,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),232126.0,4779.566619849487
229,49,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),298437.0,8079.6618914008295
237,50,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),225170.00000000003,10118.14587442701
237,53,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),226508.0,5787.763411457279
240,80,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),219762.0,5087.656833488681
40,4,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),362133.0,5408.165459826052
62,5,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),344641.0,3912.961603495848
65,6,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),316148.0,7708.295725232385
74,7,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),332524.0,6761.913367811684
216,42,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),226094.0,3859.66791925907
240,20,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),351595.0,2846.7053038353038
240,41,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),248884.0,5981.23884072704
218,16,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),264177.0,3381.2311175398754
73,3,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),259548.0,4238.402775340228
108,4,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),246654.00000000003,3056.2295291974306
131,5,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),278135.0,3307.1900924126667
144,6,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),238704.00000000003,3480.157914888508
185,9,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),216452.0,4329.533627628739
199,10,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),253132.0,1950.1604267551236
201,7,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),230315.00000000003,2793.996783932575
204,8,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),266916.0,1997.702731011098
234,13,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),332983.0,3500.1416396133886
236,11,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),279110.0,3060.8703751661387
237,15,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),285271.0,3554.965567929948
238,14,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),298317.0,2627.0954490339354
240,12,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),260293.00000000003,2814.5128006724685
221,20,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),227650.00000000003,2682.7340498422914
55,3,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),245579.0,4114.902440086774
212,18,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),218580.0,3608.4155400249388
195,14,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),233031.0,3818.6528109628707
181,13,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),217368.00000000003,3937.9669439187733
240,16,MIA_KC_htb1_mCitrine_labeled,Position_2,1 (n=139),243079.0,3555.360117720916
176,9,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),242783.0,2232.3079810969316
181,12,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),236726.0,6617.685047046413
145,7,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),187698.0,4803.015601716285
139,8,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),237053.0,4749.638378923027
120,6,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),236594.0,4198.526238883305
93,5,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),254888.0,4078.3412723428914
82,4,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),250621.0,4101.511423986001
150,11,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),236243.99999999997,3769.4231813474985
211,20,MIA_KC_htb1_mCitrine_labeled,Position_4,2 (n=45),250059.0,2876.8239725721505
231,22,MIA_KC_htb1_mCitrine_labeled,Position_4,2 (n=45),239075.0,1863.0592371474022
234,18,MIA_KC_htb1_mCitrine_labeled,Position_4,2 (n=45),291798.0,1786.7450679461717
101,4,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),223249.0,1678.2754971171125
202,15,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),251607.0,2737.2138690782717
119,5,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),211200.0,2397.635809836232
140,6,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),275798.0,2262.4251096749476
148,7,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),237476.0,2374.6329034264913
160,9,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),217320.0,2495.8883563636045
195,17,MIA_KC_htb1_mCitrine_labeled,Position_4,2 (n=45),268166.0,3936.1010021744287
105,3,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),279125.0,3175.3834575499636
170,12,MIA_KC_htb1_mCitrine_labeled,Position_4,2 (n=45),257635.0,2220.522035122445
176,5,MIA_KC_htb1_mCitrine_labeled,Position_3,2 (n=45),273415.0,2266.2497573194005
126,6,MIA_KC_htb1_mCitrine_labeled,Position_4,2 (n=45),284882.0,2366.5517470329128
99,4,MIA_KC_htb1_mCitrine_labeled,Position_4,2 (n=45),268837.0,2918.9833694610306
238,14,MIA_KC_htb1_mCitrine_labeled,Position_3,2 (n=45),241619.0,2299.43723381957
229,8,MIA_KC_htb1_mCitrine_labeled,Position_3,2 (n=45),267530.0,3129.2458174616395
221,9,MIA_KC_htb1_mCitrine_labeled,Position_3,2 (n=45),231510.0,2303.141257121744
145,4,MIA_KC_htb1_mCitrine_labeled,Position_3,2 (n=45),267917.0,2896.3586702695134
240,9,MIA_KC_htb1_mCitrine_labeled,Position_2,2 (n=45),255321.99999999997,2599.5379004717433
238,8,MIA_KC_htb1_mCitrine_labeled,Position_2,2 (n=45),286571.0,2022.915510661927
237,10,MIA_KC_htb1_mCitrine_labeled,Position_2,2 (n=45),267130.0,1698.6236942445844
207,4,MIA_KC_htb1_mCitrine_labeled,Position_2,2 (n=45),299402.0,1452.2914914438359
204,4,MIA_KC_htb1_mCitrine_labeled,Position_2,2 (n=45),296713.0,1532.7883277310414
