Position_n,frame_i,Cell_ID,time_seconds,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,FITC_mean,phase_contr_mean,FITC_median,phase_contr_median,FITC_min,phase_contr_min,FITC_max,phase_contr_max,FITC_sum,phase_contr_sum,FITC_q25,phase_contr_q25,FITC_q75,phase_contr_q75,FITC_q05,phase_contr_q05,FITC_q95,phase_contr_q95,FITC_amount_autoBkgr,phase_contr_amount_autoBkgr,FITC_amount_dataPrepBkgr,phase_contr_amount_dataPrepBkgr
Position_5,0,18,0,0,0,140,347,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1002,23587.16512,46.14526632,233.1121448,250.8522954,2578.451098,250,2575,185,2147,303,3138,251354,2583608,242,2480,260,2683.75,230,2283,274,2859,21896,228908,0,0
Position_5,0,21,0,0,0,50,409,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,879,19209.06118,40.48072764,189.8433079,291.2673493,2571.992036,290,2564,192,2125,365,3075,256024,2260781,277,2445.5,305,2680.5,261,2326,324,2867.1,54733,195131,0,0
Position_5,0,23,0,0,0,31,499,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,783,14543.80353,36.05962428,143.7365286,277.6168582,2658.860792,275,2630,231,2130,376,3316,217374,2081888,260,2502.5,293,2788.5,253.1,2331.2,311,3081,38067,241838,0,0
Position_6,0,5,0,0,0,274,44,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,979,22414.99576,45.08604364,221.5275854,252.2563841,2549.945863,252,2537,212,2132,307,2986,246959,2496397,242,2450,262,2641,230,2317.9,276,2826.2,21789,193789,0,0
Position_6,0,18,0,0,0,376,291,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,923,19379.3954,42.50706668,191.5267224,287.872156,2652.514626,288,2641,238,2244,342,3215,265706,2448271,277,2511.5,299,2777.5,261,2383.4,316,2961.9,53416,277375,0,0
Position_6,0,19,0,0,0,9,311,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,650,10223.18448,29.934554,101.0358154,270.5815385,2569.833846,272,2556.5,239,2209,314,3081,175878,1670392,256,2461.5,284.75,2666.25,244,2301.35,299,2879,26378,141592,0,0
Position_6,0,21,0,0,0,96,330,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1042,24781.64395,47.98739272,244.9171888,271.0930902,2633.723608,271,2632,232,2241,326,3197,282479,2744340,260,2503.25,282,2742.75,247,2363.05,297,2950.95,42819,293556,0,0
Position_6,0,23,0,0,0,156,382,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,926,19988.2931,42.64522616,197.5444634,249.6274298,2499.586393,249,2486,202,2204,313,2861,231155,2314617,241,2409.25,258,2584,227,2324,273,2723.75,18175,136665,0,0
Position_6,0,26,0,0,0,293,464,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1127,27233.56583,51.90191132,269.1495527,225.6193434,2490.423248,225,2477,183,2220,291,2907,254273,2806707,216,2416,234,2552,206,2336.3,247,2696,-4937,156003,0,0
Position_7,0,10,0,0,0,219,88,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1235,31184.9562,56.8756526,308.2011758,248.0947368,2562.460729,248,2557,210,2092,375,3045,306397,3164639,239,2443,256,2667,228,2312.7,270,2850,18642,273504,0,0
Position_7,0,13,0,0,0,484,128,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1328,34461.08957,61.15859648,340.5792286,286.8185241,2661.792169,287,2648,241,2058,338,3337,380895,3534860,276,2528.75,298,2793.25,259.35,2363.05,313.65,3011,71471,426012,0,0
Position_7,0,15,0,0,0,455,171,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1379,34496.57207,63.50730764,340.9299024,266.5678028,2639.918057,266,2607,223,2106,317,3670,367597,3640447,257,2506.5,276,2733,243,2360.8,291,3028.5,46290,412208,0,0
Position_7,0,18,0,0,0,449,229,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1219,30689.83193,56.13880204,303.3078587,248.7981952,2565.812961,249,2552,203,2198,290,3037,303285,3127726,240,2468,258,2645,226,2357.8,272,2843,19258,274047,0,0
Position_7,0,20,0,0,0,305,260,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1099,26114.04794,50.61242284,258.0853483,232.5505005,2548.508644,232,2533,176,2242,277,2944,255573,2800811,224,2467.5,241,2609,213,2389,254,2785,-494,228052,0,0
Position_7,0,24,0,0,0,430,348,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1339,34621.54276,61.66518124,342.1649887,272.3532487,2666.496639,272,2642,231,2163,322,3424,364681,3570439,262,2506.5,282,2795,248,2347,298,3083,52694,435840,0,0
Position_7,0,27,0,0,0,23,394,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1477,41635.83486,68.02051732,411.4872947,283.3060257,2536.402167,283,2524,232,2183,346,3002,418443,3746266,272,2442,294,2617,258,2331.8,311.2,2787,74302,288609,0,0
Position_7,0,28,0,0,0,398,395,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1196,30036.48159,55.07957936,296.8507919,243.388796,2579.089465,243,2563,198,2169,363,3238,291093,3084591,234,2449.75,252,2677,222,2302.75,265.25,2933,12425,284755,0,0
Position_7,0,30,0,0,0,58,474,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1051,23474.17751,48.40187116,231.9954873,269.6964795,2570.030447,270,2557,223,2171,321,3240,283451,2701102,260,2434,279,2682.5,246.5,2306,296,2894.5,38568,240711,0,0
