selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time,Method of calculation,value
0,Position_4,6,S,1,123,266763.0,272011.0,MIA_KC_test_files,mother,12,34,91,,33,33,-31,35,99,1st ($n_1$=38),16,Bud signal,272011.0
0,Position_4,10,G1,1,123,243809.0,263339.0,MIA_KC_test_files,mother,2,8,116,,8,-1,-8,32,-3,1st ($n_1$=38),38,Bud signal,0.0
0,Position_4,1,S,5,124,310300.0,261437.0,MIA_KC_test_files,mother,15,26,98,,27,27,-2,27,81,2+ ($n_2$=79),45,Bud signal,261437.0
0,Position_4,2,G1,3,124,288393.0,240273.0,MIA_KC_test_files,mother,10,9,116,,9,-1,-9,26,-3,2+ ($n_2$=79),78,Bud signal,0.0
0,Position_4,3,S,6,124,307018.0,1197.9999999999998,MIA_KC_test_files,mother,17,27,122,,3,3,-5,28,9,2+ ($n_2$=79),79,Bud signal,1197.9999999999998
0,Position_4,4,S,2,124,485697.0,22261.0,MIA_KC_test_files,mother,16,25,108,,17,17,-8,26,51,2+ ($n_2$=79),77,Bud signal,22261.0
0,Position_4,6,S,1,124,278820.0,272872.0,MIA_KC_test_files,mother,12,34,91,,34,34,-31,35,102,1st ($n_1$=38),14,Bud signal,272872.0
0,Position_4,12,G1,1,139,259438.00000000003,309474.99999999994,MIA_KC_test_files,mother,6,18,126,,14,-5,-18,25,-15,1st ($n_1$=38),38,Bud signal,0.0
0,Position_4,10,G1,1,124,240273.0,288393.0,MIA_KC_test_files,mother,2,8,116,,9,0,-8,32,0,1st ($n_1$=38),38,Bud signal,0.0
0,Position_4,2,G1,3,125,306538.99999999994,240522.0,MIA_KC_test_files,mother,10,9,116,,10,0,-9,26,0,2+ ($n_2$=79),79,Bud signal,0.0
0,Position_4,3,S,6,125,314157.0,1907.0,MIA_KC_test_files,mother,17,27,122,,4,4,-5,28,12,2+ ($n_2$=79),79,Bud signal,1907.0
0,Position_4,4,S,2,125,411471.0,73314.0,MIA_KC_test_files,mother,16,25,108,,18,18,-8,26,54,2+ ($n_2$=79),76,Bud signal,73314.0
0,Position_4,6,S,1,125,285866.0,271980.0,MIA_KC_test_files,mother,12,34,91,,35,35,-31,35,105,1st ($n_1$=38),14,Bud signal,271980.0
0,Position_4,10,S,1,125,240522.0,445.0,MIA_KC_test_files,mother,18,31,125,,1,1,-8,32,3,1st ($n_1$=38),38,Bud signal,445.0
0,Position_4,1,G1,6,126,311783.0,235974.0,MIA_KC_test_files,mother,15,7,125,,2,-6,-7,23,-18,2+ ($n_2$=79),63,Bud signal,0.0
0,Position_4,2,S,3,126,329508.0,894.9999999999999,MIA_KC_test_files,mother,19,25,126,,1,1,-9,26,3,2+ ($n_2$=79),79,Bud signal,894.9999999999999
0,Position_4,1,G1,6,125,310211.99999999994,265089.0,MIA_KC_test_files,mother,15,7,125,,1,-7,-7,23,-21,2+ ($n_2$=79),57,Bud signal,0.0
0,Position_4,1,S,6,140,448296.0,7304.0,MIA_KC_test_files,mother,20,22,133,,8,8,-7,23,24,2+ ($n_2$=79),79,Bud signal,7304.0
0,Position_4,2,S,3,140,533268.0,21524.000000000004,MIA_KC_test_files,mother,19,25,126,,15,15,-9,26,45,2+ ($n_2$=79),78,Bud signal,21524.000000000004
0,Position_4,3,S,6,140,480147.0,21199.0,MIA_KC_test_files,mother,17,27,122,,19,19,-5,28,57,2+ ($n_2$=79),76,Bud signal,21199.0
0,Position_4,10,S,1,153,240763.0,233233.0,MIA_KC_test_files,mother,18,31,125,,29,29,-8,32,87,1st ($n_1$=38),25,Bud signal,233233.0
0,Position_4,12,S,1,153,469834.0,20132.0,MIA_KC_test_files,mother,22,24,145,,9,9,-18,25,27,1st ($n_1$=38),38,Bud signal,20132.0
0,Position_4,17,G1,1,153,246597.0,282644.0,MIA_KC_test_files,mother,3,13,150,,4,-10,-13,31,-30,1st ($n_1$=38),35,Bud signal,0.0
0,Position_4,1,S,6,154,295864.0,253654.0,MIA_KC_test_files,mother,20,22,133,,22,22,-7,23,66,2+ ($n_2$=79),74,Bud signal,253654.0
0,Position_4,2,G1,4,154,266793.0,277416.0,MIA_KC_test_files,mother,19,5,152,,3,-3,-5,57,-9,2+ ($n_2$=79),76,Bud signal,0.0
0,Position_4,3,G1,7,154,283289.0,242935.0,MIA_KC_test_files,mother,17,9,150,,5,-5,-9,39,-15,2+ ($n_2$=79),72,Bud signal,0.0
