selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time,Method of calculation,value
0,Position_3,1,S,6.0,164,424924.0,2981.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,424924.0,10.0,10.0,-15.0,26.0,30.0,2+ ($n_2$=89),89,Combined signal,427905.0
0,Position_3,2,S,4.0,164,411817.0,3379.0000000000005,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,411817.0,10.0,10.0,-4.0,26.0,30.0,2+ ($n_2$=89),89,Combined signal,415196.0
0,Position_3,4,S,2.0,164,314618.00000000006,4348.0,MIA_KC_htb1_mCitrine_labeled,mother,14.0,33.0,161.0,314618.00000000006,4.0,4.0,-15.0,34.0,12.0,2+ ($n_2$=89),89,Combined signal,318966.00000000006
0,Position_3,8,G1,1.0,164,225235.0,424924.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,43.0,139.0,225235.0,26.0,-18.0,-43.0,46.0,-54.0,1st ($n_1$=48),28,Combined signal,225235.0
0,Position_3,1,S,6.0,165,423510.0,3865.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,423510.0,11.0,11.0,-15.0,26.0,33.0,2+ ($n_2$=89),89,Combined signal,427375.0
0,Position_3,2,S,4.0,165,429470.0,4826.0,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,429470.0,11.0,11.0,-4.0,26.0,33.0,2+ ($n_2$=89),89,Combined signal,434296.0
0,Position_3,4,S,2.0,165,347081.00000000006,6348.0,MIA_KC_htb1_mCitrine_labeled,mother,14.0,33.0,161.0,347081.00000000006,5.0,5.0,-15.0,34.0,15.0,2+ ($n_2$=89),89,Combined signal,353429.00000000006
0,Position_3,8,G1,1.0,165,221544.0,423510.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,43.0,139.0,221544.0,27.0,-17.0,-43.0,46.0,-51.0,1st ($n_1$=48),31,Combined signal,221544.0
0,Position_3,1,S,6.0,166,428848.0,3865.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,428848.0,12.0,12.0,-15.0,26.0,36.0,2+ ($n_2$=89),89,Combined signal,432713.0
0,Position_3,2,S,4.0,166,443145.0,5462.0,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,443145.0,12.0,12.0,-4.0,26.0,36.0,2+ ($n_2$=89),89,Combined signal,448607.0
0,Position_3,4,S,2.0,166,354826.0,7245.0,MIA_KC_htb1_mCitrine_labeled,mother,14.0,33.0,161.0,354826.0,6.0,6.0,-15.0,34.0,18.0,2+ ($n_2$=89),89,Combined signal,362071.0
0,Position_3,8,G1,1.0,166,228200.0,428848.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,43.0,139.0,228200.0,28.0,-16.0,-43.0,46.0,-48.0,1st ($n_1$=48),32,Combined signal,228200.0
0,Position_3,1,S,6.0,167,408248.0,8013.0,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,408248.0,13.0,13.0,-15.0,26.0,39.0,2+ ($n_2$=89),89,Combined signal,416261.0
0,Position_3,2,S,4.0,162,380157.0,3052.9999999999995,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,380157.0,8.0,8.0,-4.0,26.0,24.0,2+ ($n_2$=89),89,Combined signal,383210.0
0,Position_3,1,G1,6.0,145,280401.0,256358.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,15.0,139.0,280401.0,7.0,-9.0,-15.0,26.0,-27.0,2+ ($n_2$=89),43,Combined signal,280401.0
0,Position_3,1,S,6.0,162,415443.0,3048.9999999999995,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,415443.0,8.0,8.0,-15.0,26.0,24.0,2+ ($n_2$=89),89,Combined signal,418492.0
0,Position_3,4,S,2.0,161,278514.0,1535.9999999999998,MIA_KC_htb1_mCitrine_labeled,mother,14.0,33.0,161.0,278514.0,1.0,1.0,-15.0,34.0,3.0,2+ ($n_2$=89),89,Combined signal,280050.0
0,Position_3,4,G1,2.0,156,276514.0,,MIA_KC_htb1_mCitrine_labeled,mother,7.0,15.0,145.0,276514.0,12.0,-4.0,-15.0,34.0,-12.0,2+ ($n_2$=89),83,Combined signal,276514.0
0,Position_3,5,S,1.0,156,408069.0,32294.0,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,408069.0,42.0,42.0,-21.0,61.0,126.0,1st ($n_1$=48),10,Combined signal,440363.0
0,Position_3,1,S,6.0,157,343351.0,2666.0000000000005,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,343351.0,3.0,3.0,-15.0,26.0,9.0,2+ ($n_2$=89),89,Combined signal,346017.0
0,Position_3,2,S,4.0,157,294090.0,1819.0,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,294090.0,3.0,3.0,-4.0,26.0,9.0,2+ ($n_2$=89),89,Combined signal,295909.0
0,Position_3,4,G1,2.0,157,267000.99999999994,,MIA_KC_htb1_mCitrine_labeled,mother,7.0,15.0,145.0,267000.99999999994,13.0,-3.0,-15.0,34.0,-9.0,2+ ($n_2$=89),85,Combined signal,267000.99999999994
0,Position_3,1,S,6.0,158,361909.0,2334.9999999999995,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,361909.0,4.0,4.0,-15.0,26.0,12.0,2+ ($n_2$=89),89,Combined signal,364244.0
0,Position_3,2,S,4.0,158,303872.0,1456.0,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,303872.0,4.0,4.0,-4.0,26.0,12.0,2+ ($n_2$=89),89,Combined signal,305328.0
0,Position_3,4,G1,2.0,158,286968.0,,MIA_KC_htb1_mCitrine_labeled,mother,7.0,15.0,145.0,286968.0,14.0,-2.0,-15.0,34.0,-6.0,2+ ($n_2$=89),87,Combined signal,286968.0
0,Position_3,8,G1,1.0,158,229520.0,361909.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,43.0,139.0,229520.0,20.0,-24.0,-43.0,46.0,-72.0,1st ($n_1$=48),11,Combined signal,229520.0
0,Position_3,1,S,6.0,159,378409.0,1965.0,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,378409.0,5.0,5.0,-15.0,26.0,15.0,2+ ($n_2$=89),89,Combined signal,380374.0
