selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,Combined signal m&b,Bud signal,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time
0,Position_2,3,G1,1,79,240549.00000000003,338008.0,MIA_KC_test_files,mother,1,15,73,240549.00000000003,7,-9,240549.00000000003,0.0,-15,42,-27,1st ($n_1$=38),36
0,Position_2,1,S,4,80,350304.0,538.9999999999999,MIA_KC_test_files,mother,4,27,80,350304.0,1,1,350843.0,538.9999999999999,-6,28,3,2+ ($n_2$=79),79
0,Position_2,3,G1,1,80,244081.0,350304.0,MIA_KC_test_files,mother,1,15,73,244081.0,8,-8,244081.0,0.0,-15,42,-24,1st ($n_1$=38),37
0,Position_2,1,S,4,81,365491.0,351.00000000000017,MIA_KC_test_files,mother,4,27,80,365491.0,2,2,365842.0,351.00000000000017,-6,28,6,2+ ($n_2$=79),79
0,Position_2,3,G1,1,81,254643.0,365491.0,MIA_KC_test_files,mother,1,15,73,254643.0,9,-7,254643.0,0.0,-15,42,-21,1st ($n_1$=38),37
0,Position_2,1,S,4,82,383435.0,750.0000000000001,MIA_KC_test_files,mother,4,27,80,383435.0,3,3,384185.0,750.0000000000001,-6,28,9,2+ ($n_2$=79),79
0,Position_2,3,G1,1,82,251408.0,383435.0,MIA_KC_test_files,mother,1,15,73,251408.0,10,-6,251408.0,0.0,-15,42,-18,1st ($n_1$=38),38
0,Position_2,1,S,4,83,398495.0,1427.0,MIA_KC_test_files,mother,4,27,80,398495.0,4,4,399922.0,1427.0,-6,28,12,2+ ($n_2$=79),79
0,Position_2,3,G1,1,83,256048.0,398495.0,MIA_KC_test_files,mother,1,15,73,256048.0,11,-5,256048.0,0.0,-15,42,-15,1st ($n_1$=38),38
0,Position_2,1,S,4,84,421528.0,2002.0,MIA_KC_test_files,mother,4,27,80,421528.0,5,5,423530.0,2002.0,-6,28,15,2+ ($n_2$=79),79
0,Position_2,3,G1,1,84,263914.0,421528.0,MIA_KC_test_files,mother,1,15,73,263914.0,12,-4,263914.0,0.0,-15,42,-12,1st ($n_1$=38),38
0,Position_2,1,S,4,85,435481.0,2199.0000000000005,MIA_KC_test_files,mother,4,27,80,435481.0,6,6,437680.0,2199.0000000000005,-6,28,18,2+ ($n_2$=79),79
0,Position_2,3,G1,1,85,261442.00000000003,435481.0,MIA_KC_test_files,mother,1,15,73,261442.00000000003,13,-3,261442.00000000003,0.0,-15,42,-9,1st ($n_1$=38),38
0,Position_2,1,S,4,86,450226.0,2709.9999999999995,MIA_KC_test_files,mother,4,27,80,450226.0,7,7,452936.0,2709.9999999999995,-6,28,21,2+ ($n_2$=79),79
0,Position_2,3,G1,1,86,261519.0,450226.0,MIA_KC_test_files,mother,1,15,73,261519.0,14,-2,261519.0,0.0,-15,42,-6,1st ($n_1$=38),38
0,Position_2,1,S,4,87,460212.0,3719.0,MIA_KC_test_files,mother,4,27,80,460212.0,8,8,463931.0,3719.0,-6,28,24,2+ ($n_2$=79),79
0,Position_2,3,G1,1,87,258027.0,460212.0,MIA_KC_test_files,mother,1,15,73,258027.0,15,-1,258027.0,0.0,-15,42,-3,1st ($n_1$=38),38
0,Position_2,1,S,4,88,480791.0,3597.999999999999,MIA_KC_test_files,mother,4,27,80,480791.0,9,9,484389.0,3597.999999999999,-6,28,27,2+ ($n_2$=79),79
0,Position_2,3,G1,1,88,271944.0,480791.0,MIA_KC_test_files,mother,1,15,73,271944.0,16,0,271944.0,0.0,-15,42,0,1st ($n_1$=38),38
0,Position_2,1,S,4,89,482163.0,6332.000000000001,MIA_KC_test_files,mother,4,27,80,482163.0,10,10,488495.0,6332.000000000001,-6,28,30,2+ ($n_2$=79),79
0,Position_2,3,S,1,89,272058.0,440.00000000000006,MIA_KC_test_files,mother,5,41,89,272058.0,1,1,272498.0,440.00000000000006,-15,42,3,1st ($n_1$=38),38
