space_size,bbox_area,exec_time
30,20164,8.02300003124401
30,20736,7.9061000142246485
30,21316,7.937200018204749
30,21904,8.503400022163987
30,22500,8.905299997422844
30,23104,8.75320000341162
30,23716,9.093300031963736
30,24336,9.138799970969558
30,24964,9.392899984959513
30,25600,9.549699956551194
30,26244,9.837299992796034
30,26896,10.522099968511611
30,27556,10.444999963510782
30,28224,10.711300012189895
30,28900,10.772399953566492
30,29584,13.176899985410273
30,30276,12.435500044375658
30,30976,11.901299993041903
30,31684,11.835899960715324
30,32400,12.265000026673079
30,33124,12.830099964048713
30,33856,12.865299999248236
30,34596,13.384399993810803
30,35344,13.190399971790612
30,36100,17.22530002007261
30,36864,17.518999986350536
30,37636,15.024000022094697
30,38416,15.029800008051097
30,39204,14.798499993048608
30,40000,15.145600016694516
30,40804,15.29449998633936
30,41616,15.780400019139051
30,42436,16.48280001245439
30,43264,16.744800028391182
30,44100,16.613600018899888
30,44944,18.246899999212474
30,45796,18.60429998487234
30,46656,18.541799974627793
30,47524,18.582699995022267
30,48400,18.93030002247542
30,49284,19.23590002115816
30,50176,19.31989996228367
30,51076,19.96160001726821
30,51984,22.065099969040602
30,52900,29.15940003003925
30,53824,23.134500021114945
30,54756,21.63749997271225
30,55696,24.077199981547892
30,56644,27.665100002195686
30,57600,27.288899989798665
30,58564,24.84940004069358
30,59536,23.838300025090575
30,60516,24.207299982663244
30,61504,25.483999983407557
30,62500,28.874600015114993
30,63504,25.047600036486983
30,64516,26.665099954698235
30,65536,27.98289997735992
30,66564,27.016400010325015
30,67600,27.21829997608438
30,68644,28.336300048977137
30,69696,28.531900024972856
30,70756,30.774099985137582
30,71824,37.19830000773072
30,72900,33.612300001550466
30,73984,31.42920002574101
30,75076,30.878999968990684
30,76176,31.72420000191778
30,77284,31.575599976349622
30,78400,33.732199983205646
30,79524,33.9242999907583
30,80656,36.10970004228875
30,81796,36.1152000259608
30,82944,47.12240002118051
30,84100,38.5175000410527
30,85264,36.75999998813495
30,86436,37.0524000027217
30,87616,39.526899985503405
30,88804,38.73449994716793
30,90000,39.739000028930604
30,91204,39.83100003097206
30,92416,50.14459998346865
30,93636,44.28769997321069
30,94864,43.527400004677474
30,96100,42.571500001940876
30,97344,42.77699999511242
30,98596,43.6735000112094
30,99856,53.123699966818094
30,101124,47.3346000071615
30,102400,46.99090000940487
30,103684,47.46650002198294
30,104976,52.227200008928776
30,106276,56.20140000246465
30,107584,51.70509999152273
30,108900,52.44260001927614
30,110224,49.36100001214072
30,111556,58.10129997553304
30,112896,51.153400039765984
30,114244,52.760699996724725
30,115600,59.58579998696223
30,116964,54.380200046580285
30,118336,54.21390000265092
30,119716,61.6802999866195
30,121104,57.33909999253228
30,122500,66.3840000052005
30,123904,58.38750000111759
30,125316,67.51249998342246
30,126736,58.96150000626221
30,128164,66.8803000007756
